code,name,board,schema_profile,field,extraction_type,status,proxy_plausible,strict_label,reason,value_preview,evidence_sentence,page,source_url,subtype_caveat_flag
000001,平安银行,szse_main,bank,mda,section_snippet,found,True,usable,substantive in-region snippet with anchor (len=320),"管理层讨论与分析 36 平安银行股份有限公司 2024 年年度报告 贴现 185,729 5.5% - 214,799 6.3% - - 个人贷款（注） 1,767,168 52.4% 1.39% 1,977,719 58.0% 1.37% +0.02 个百分点 其中：住房按揭贷款 326,098 9.7% 0.47%...","管理层讨论与分析 36 平安银行股份有限公司 2024 年年度报告 贴现 185,729 5.5% - 214,799 6.3% - - 个人贷款（注） 1,767,168 52.4% 1.39% 1,977,719 58.0% 1.37% +0.02 个百分点 其中：住房按揭贷款 326,098 9.7% 0.47% 303,568 8.9% 0.30% +0.17 个百分点 信用卡应收账款…",37,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,industry_discussion,section_snippet,found,True,usable,substantive in-region snippet with anchor (len=320),宏观经济预计仍将持续保持稳健增长，经济回升向好态势将进一步巩固和增强。 2025 年，金融强国建设将加快推进，深化党建引领、加强党中央对金融工作的集中统一领导， 做好金融“五篇大文章”、为经济社会发展提供高质量金融服务，强化全面风险管理、有效防范化 解系统性金融风险，仍将是银行业的主旋律。 3.7.2 经营计划 202...,宏观经济预计仍将持续保持稳健增长，经济回升向好态势将进一步巩固和增强。,63,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,risk_factors,section_snippet,found,True,usable,substantive in-region snippet with anchor (len=320),风险管理部等专业部门负责全行信用风险管理工作。本行坚持“风险与发展相互协调，风险与收益 相互均衡，风险与资本相互适应”的风险管理原则，持续完善信用风险全流程管理，有效提升本行 信用风险管理水平。 报告期内，本行研判风险形势，积极采取各种措施提升风险防控能力，确保资产质量保持稳定： 一是把好增量，推进全行资产结构优化，实...,风险管理部等专业部门负责全行信用风险管理工作。,57,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,major_subsidiaries,section_snippet,found,True,partial,substantive but out-of-region (len=195),主要子公司 子公司名称 主要经营地 注册地 业务性质 持股比例 取得方式 直接 间接 平安理财有限责任公司 中国深圳 中国深圳 资产管理 100% - 设立 于2020 年8 月19 日，本行收到《中国银保监会关于平安理财有限责任公司开业的批复》(银保监 复[2020]513 号)，国家金融监督管理总局已批准本行的全资...,"主要子公司 子公司名称 主要经营地 注册地 业务性质 持股比例 取得方式 直接 间接 平安理财有限责任公司 中国深圳 中国深圳 资产管理 100% - 设立 于2020 年8 月19 日，本行收到《中国银保监会关于平安理财有限责任公司开业的批复》(银保监 复[2020]513 号)，国家金融监督管理总局已批准本行的全资子公司平安理财有限责任公司开业，注 册资本为人民币5,000 百万元。",178,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,main_business_segments,section_snippet,found,True,usable,substantive in-region snippet with anchor (len=136),公司金融业审核总监等职务。 付欣女士，非执行董事。1979 年出生，上海交通大学工商管理硕士。现任中国平安执行董事、 副总经理。2024 年3 月至今，任平安银行董事。 付欣女士于2017 年10 月加入中国平安，任中国平安企划部总经理，2020 年3 月至2022 年3,公司金融业审核总监等职务。,68,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,net_interest_income,numeric,partial,False,partial,status=partial,"利息净收入=93,427; 利息净收入=53,268; 利息净收入=29,156; 总额=146","利息净收入 93,427 63.7% 117,991 71.6% (20.8%) 存放中央银行款项 3,438 1.7% 3,844 1.6% (10.6%) 存放同业、拆放同业及买入返售金融资产 10,206 5.1% 8,776 3.9% 16.3% 发放贷款和垫款 154,199 77.7% 183,849 80.8% (16.1%) 金融投资 30,538 15.5% 31,148 13…",25,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,non_interest_income,numeric,partial,False,partial,status=partial,"手续费及佣金净收入=24,112; 总额=146,695","手续费及佣金净收入 24,112 16.4% 29,430 17.9% (18.1%) 其他非利息净收入 29,156 19.9% 17,278 10.5% 68.7% 营业收入总额 146,695 100.0% 164,699 100.0% (10.9%) （2）利息净收入 2024 年，本集团实现利息净收入934.27 亿元，同比下降20.8%，主要受市场利率下行、主动压 降零售高风险资产等…",25,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,loan_structure,table,found,True,usable,6 data rows,"[table p.37 hits=2] 个人贷款（注） | 1,767,168 | 52.4% | 1.39% | 1,977,719 | 58.0% / 其中：住房按揭贷款 | 326,098 | 9.7% | 0.47% | 303,568 | 8.9%",发放贷款和垫款本金总额,37,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,deposit_structure,table,found,True,usable,6 data rows,"[table p.42 hits=2] 个人存款余额 | 1,287,180 | 1,207,618 | 6.6% / 财富客户数（万户） | 145.62 | 137.75 | 5.7%",个人存款余额,42,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
000001,平安银行,szse_main,bank,npl_ratio,numeric,found,True,wrong,"ratio field with non-ratio value '796,244'","不良率=796,244; 总额=3,374,103; 总额=37,664",不良率增减,38,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,False
