stock_code,short_name,board,status,yaml_financial,eval_financial,schema_profile,profile_schema_profile,field_count,found_count,proxy_plausible_count,proxy_plausible_ratio,source_url,suspicion_flags
600000,浦发银行,sse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-03-29/1222948214.PDF,
600015,华夏银行,sse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-04-18/1223129834.PDF,
600016,民生银行,sse_main,ok,True,True,bank,bank,13,8,8,0.6154,http://static.cninfo.com.cn/finalpage/2025-03-29/1222951325.PDF,
600030,中信证券,sse_main,ok,True,True,broker,broker,12,8,8,0.6667,http://static.cninfo.com.cn/finalpage/2025-03-27/1222912838.PDF,
600036,招商银行,sse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-26/1222895154.PDF,
600109,国金证券,sse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-04-25/1223273918.PDF,
600318,新力金融,sse_main,ok,True,True,bank,bank,13,5,5,0.3846,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,explicit_review
600369,西南证券,sse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-04-26/1223322405.PDF,
600816,建元信托,sse_main,ok,True,True,bank,bank,13,6,6,0.4615,http://static.cninfo.com.cn/finalpage/2025-02-28/1222663037.PDF,explicit_review;possible_trust_as_bank
600837,海通证券,sse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2024-03-29/1219446510.PDF,
600906,财达证券,sse_main,ok,True,True,broker,broker,12,8,8,0.6667,http://static.cninfo.com.cn/finalpage/2025-04-26/1223323093.PDF,
600908,无锡银行,sse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-29/1222945256.PDF,
600909,华安证券,sse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-03-28/1222925540.PDF,
600918,中泰证券,sse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-03-22/1222869959.PDF,
600919,江苏银行,sse_main,ok,True,True,bank,bank,13,7,7,0.5385,http://static.cninfo.com.cn/finalpage/2025-04-19/1223143257.PDF,
