code,short_name,board,field,inventory_root_cause,inventory_priority,bse_group,stored_strict,stored_reason,fresh_strict,fresh_reason,tier4_strict,tier4_reason,rank_strict,rank_reason,single_row_relaxed,classification,decision,exp_best_source,exp_best_strict,improved,regressed
000972,*ST中基,szse_main,revenue_by_region,tier3_stitched_still_empty_multipage,P0,000972,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,2 data rows with numerics,wrong,wrong_table_ranking_candidate,P1 wrong-table ranking,ranked,usable,True,False
831039,国义招标,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:国义招标:1039,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
831832,科达自控,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:科达自控:1832,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
832175,东方碳素,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:东方碳素:2175,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
836957,汉维科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:汉维科技:6957,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
839719,宁新新材,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:宁新新材:9719,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
872392,佳合科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,872392,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
873593,鼎智科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,873593,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920039,国义招标,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:国义招标:0039,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920175,东方碳素,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:东方碳素:0175,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920392,佳合科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:佳合科技:0392,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920593,鼎智科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:鼎智科技:0593,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920719,宁新新材,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:宁新新材:0719,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920932,科达自控,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:科达自控:0932,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920957,汉维科技,bse,revenue_by_region,tier3_stitched_still_empty_multipage,P0,bse:汉维科技:0957,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
300128,锦富技术,chinext,revenue_by_segment,tier3_stitched_still_empty_multipage,P0,300128,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
300729,乐歌股份,chinext,revenue_by_segment,tier3_stitched_still_empty_multipage,P0,300729,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
873339,恒太照明,bse,revenue_by_segment,tier3_stitched_still_empty_multipage,P0,873339,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920116,星图测控,bse,revenue_by_segment,tier3_stitched_still_empty_multipage,P0,bse:星图测控:0116,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
920339,恒太照明,bse,revenue_by_segment,tier3_stitched_still_empty_multipage,P0,bse:恒太照明:0339,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,tier4_multipage_candidate,P0 Tier4,stored,wrong,False,False
000011,深物业A,szse_main,revenue_by_region,wrong_table_sales_mode_bleed,P1,000011,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,5 data rows with numerics,usable,2 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
002783,凯龙股份,szse_main,revenue_by_region,wrong_table_sales_mode_bleed,P1,002783,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,6 data rows with numerics,usable,3 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
300435,中泰股份,chinext,revenue_by_region,wrong_table_sales_mode_bleed,P1,300435,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,6 data rows with numerics,partial,single data row only,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
301190,善水科技,chinext,revenue_by_region,wrong_table_sales_mode_bleed,P1,301190,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,sales_mode_bleed,P1 trim/ranking,stored,wrong,False,False
301382,蜂助手,chinext,revenue_by_region,wrong_table_sales_mode_bleed,P1,301382,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,5 data rows with numerics,usable,5 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
301551,无线传媒,chinext,revenue_by_region,wrong_table_sales_mode_bleed,P1,301551,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,4 data rows with numerics,usable,4 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
600132,重庆啤酒,sse_main,revenue_by_region,empty_table_no_stitch,P1,600132,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,empty_table_no_stitch,P1 manual PDF review,stored,wrong,False,False
600398,海澜之家,sse_main,revenue_by_region,empty_table_no_stitch,P1,600398,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,empty_table_no_stitch,P1 manual PDF review,stored,wrong,False,False
601952,苏垦农发,sse_main,revenue_by_region,rows_present_fail_data_row_heuristic,P1,601952,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,5 data rows with numerics,usable,5 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
603037,凯众股份,sse_main,revenue_by_region,empty_table_no_stitch,P1,603037,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,partial,single data row only,partial,single data row only,wrong,tier4_multipage_candidate,P1 Tier4,tier4,partial,True,False
603132,金徽股份,sse_main,revenue_by_region,rows_present_fail_data_row_heuristic,P1,603132,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,layout_numeric_format,P1 layout/heuristic,stored,wrong,False,False
603421,鼎信通讯,sse_main,revenue_by_region,empty_table_no_stitch,P1,603421,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,2 data rows with numerics,usable,2 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
603919,金徽酒,sse_main,revenue_by_region,rows_present_fail_data_row_heuristic,P1,603919,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,layout_numeric_format,P1 layout/heuristic,stored,wrong,False,False
605090,九丰能源,sse_main,revenue_by_region,rows_present_fail_data_row_heuristic,P1,605090,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,2 data rows with numerics,usable,2 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
688509,正元地信,star,revenue_by_region,empty_table_no_stitch,P1,688509,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,3 data rows with numerics,usable,3 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
832885,星辰科技,bse,revenue_by_region,wrong_table_customer_captured_as_region,P1,bse:星辰科技:2885,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,wrong_sibling_table,P1 wrong-table ranking,stored,wrong,False,False
833075,柏星龙,bse,revenue_by_region,wrong_table_customer_captured_as_region,P1,bse:柏星龙:3075,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,wrong_sibling_table,P1 wrong-table ranking,stored,wrong,False,False
920075,柏星龙,bse,revenue_by_region,wrong_table_customer_captured_as_region,P1,bse:柏星龙:0075,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,wrong_sibling_table,P1 wrong-table ranking,stored,wrong,False,False
920885,星辰科技,bse,revenue_by_region,wrong_table_customer_captured_as_region,P1,bse:星辰科技:0885,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,wrong_sibling_table,P1 wrong-table ranking,stored,wrong,False,False
300117,*ST嘉寓,chinext,revenue_by_segment,wrong_table_sales_mode_bleed,P1,300117,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,usable,4 data rows with numerics,usable,5 data rows with numerics,wrong,tier4_multipage_candidate,P1 Tier4,tier4,usable,True,False
600132,重庆啤酒,sse_main,revenue_by_segment,wrong_table_sales_mode_bleed,P1,600132,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,fails revenue_table_plausible,wrong,sales_mode_bleed,P1 trim/ranking,stored,wrong,False,False
