company_code,board,apply_before_status,apply_after_status,apply_changed,apply_before_anchor,apply_after_anchor,inventory_strict,inventory_root_cause,profile_error,current_status,current_strict,current_strict_reason,current_page,current_anchor,current_preview,status_matches_apply_after,apply_csv_consistent,found_to_not_found,strict_regression,strict_regression_detail
000039,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',318,研发费用,"研发费用=1,468,339",True,True,False,False,
000420,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',18,研发费用,"研发费用=29,119,999.79",True,True,False,False,
000516,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',26,研发费用,"研发费用=6,990,751.27",True,True,False,False,
000546,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',21,研发费用,"研发费用=3,929,093.15",True,True,False,False,
000619,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',77,研发费用,"研发费用=42,712,820.69",True,True,False,False,
000626,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',28,研发费用,"研发费用=23,055,740.66",True,True,False,False,
000838,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',20,研发费用,"研发费用=2,248,209.02",True,True,False,False,
000862,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',15,研发费用,"研发费用=3,391,449.59",True,True,False,False,
000885,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',20,研发费用,"研发费用=20,847,470.91",True,True,False,False,
000888,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',18,研发费用,"研发费用=2,050,537.86",True,True,False,False,
000892,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',16,研发费用,"研发费用=3,602,868.85",True,True,False,False,
000982,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',21,研发费用,"研发费用=10,176,568.37",True,True,False,False,
001266,szse_main,found,found,False,研发费用,研发费用,partial,profit_statement_研发费用_not_rnd_table,,found,partial,non-total label '研发费用',18,研发费用,"研发费用=59,622,666.69",True,True,False,False,
